2026/08/06 08:25:44 INFO  : Using sha1 for hash comparisons
2026/08/06 08:25:45 NOTICE: .aris/tools: Can't follow symlink without -L/--copy-links
2026/08/06 08:25:45 NOTICE: data/_src_Multihateclip: Can't follow symlink without -L/--copy-links
2026/08/06 08:25:48 ERROR : slurm/logs/b2_backup_0806_14146_repo.check.log: file not in B2 bucket junyi-data path RGCL_video/manual_backup_2026-08-06/RGCL
2026/08/06 08:25:48 ERROR : slurm/logs/b2_backup_0806_14146_repo.rclone.log: file not in B2 bucket junyi-data path RGCL_video/manual_backup_2026-08-06/RGCL
2026/08/06 08:25:48 ERROR : slurm/logs/b2backup0806_14146.out: sizes differ
2026/08/06 08:25:50 NOTICE: artifacts/c06_falsifier/fidelity_view/mint_hatemm_s0_ffull.npz: Can't follow symlink without -L/--copy-links
2026/08/06 08:25:50 NOTICE: artifacts/c06_falsifier/fidelity_view/mint_hatemm_s1_ffull.npz: Can't follow symlink without -L/--copy-links
2026/08/06 08:25:50 NOTICE: artifacts/c06_falsifier/fidelity_view/mint_hatemm_s2_ffull.npz: Can't follow symlink without -L/--copy-links
2026/08/06 08:25:50 NOTICE: artifacts/c06_falsifier/fidelity_view/mint_zh_s0_ffull.npz: Can't follow symlink without -L/--copy-links
2026/08/06 08:25:50 NOTICE: artifacts/c06_falsifier/fidelity_view/mint_zh_s1_ffull.npz: Can't follow symlink without -L/--copy-links
2026/08/06 08:25:50 NOTICE: artifacts/c06_falsifier/fidelity_view/mint_zh_s2_ffull.npz: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:01 NOTICE: data/video/MHC_temporal: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:01 NOTICE: data/video/MHC_zh_temporal: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_BH9CoggyV5sh.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_mqNiM3cxO3af.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_BZHgHkIw13Fi.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_5ETFPwUAKnLf.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_DFReSOwVnuSG.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_A7piMLsDQgXd.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_ATVPRSCWONOP.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_AZovlw3L8l8Y.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_NcIohi7mCuVI.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/yt_5yZByxbH8cg.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_DR1bootSpmQK.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_0EHvMSiEHVoc.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Dn2AWVRIgEVd.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_0SYLs1h6WtM2.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_E9WnMhzMFUWP.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_0ZrexCZJ860o.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_EH4buPGuFok7.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_0dcMcI6hYjhw.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_EhHEgqyLopjL.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_0e61b9MSI4mx.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_FCWyEzSntMJh.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_0ikioG8LBXn6.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_FK4MGsKanAnE.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_1MmYUYfYLBQM.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_FNGFE3pLDLfu.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_1R6aAMuJnH2t.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_FObVrmWRz4hG.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_1tSlrQp29rhp.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_FTkzcbWQIcjn.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_1yMeybakjXHe.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_FW2qCFPJMpNp.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_2AX22tKwbovE.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_G2gIZt78r1dm.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_2Fi9L4EcJScv.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Gd82dgNBRzPw.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_2ZR4SYsWDs7V.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_GhbaWPYcrixI.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_2fiDtpXIXSC1.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_H50i5iAhFUru.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_2tGMW5T5IbNz.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_H6MYrA7ZTokV.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_3Cgl0tIPDmSq.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_H8ZwlkYdXPUw.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_3lxjBTnw66Su.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_HI9AuVVbdlsB.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_4BVcDK677Zp7.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_HLSLc0FD28sB.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_4Mot8c6m4NAC.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Hi3ca2E846gC.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_4WYFmPh9YTDk.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_HrCLrEy4GBla.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_4saTrb0KOoEQ.mp4: Can't follow symlink without -L/--copy-links
