audit_id,video_path,p0,p1,p2,p3,p4,p5,rater1_presentation_appropriate,rater1_semantic_contamination,rater1_reason_code,rater1_hash,rater1_timestamp,rater2_presentation_appropriate,rater2_semantic_contamination,rater2_reason_code,rater2_hash,rater2_timestamp,adjudicated_presentation_appropriate,adjudicated_semantic_contamination,adjudication_reason_code,adjudicator_hash,adjudication_timestamp
0baacae783b07e3b34aa,/data/jehc223/RGCL/data/video/MHC/All/oZIc-6NFg2Y.mp4,0.21554118,0.153267187,0.130783972,0.187054843,0.191046547,0.122306272,,,,,,,,,,,,,,,
2b2b32fff0d552a8d5ea,/data/jehc223/RGCL/data/video/MHC/All/TmdUQEkgO_w.mp4,0.195116408,0.180923067,0.151124232,0.16743518,0.187350156,0.118050958,,,,,,,,,,,,,,,
3234cacc4a0a6ddae4da,/data/jehc223/RGCL/data/video/MHC/All/kHP0DXg3hlU.mp4,0.208092802,0.196119821,0.152215319,0.175641501,0.117580726,0.150349831,,,,,,,,,,,,,,,
3aacaa213b186228b8ee,/data/jehc223/RGCL/data/video/MHC/All/IrO4bFN6jno.mp4,0.192335577,0.178180573,0.152224166,0.185993928,0.16149819,0.129767565,,,,,,,,,,,,,,,
3d4b130a9f7ed157c0d4,/data/jehc223/RGCL/data/video/MHC/All/eyXtOXYvP_8.mp4,0.198907014,0.18439924,0.146707484,0.182786473,0.116299268,0.170900521,,,,,,,,,,,,,,,
4eeea5ab6dfd72966a66,/data/jehc223/RGCL/data/video/MHC/All/IC03a8kvPhU.mp4,0.186071886,0.180941601,0.14830239,0.180689462,0.118987811,0.185006851,,,,,,,,,,,,,,,
5316b2f2aae641f6568c,/data/jehc223/RGCL/data/video/MHC/All/TBPLkZzJdmI.mp4,0.203686112,0.197042315,0.142098743,0.182968905,0.125000007,0.149203919,,,,,,,,,,,,,,,
71a64713cb93d8df0529,/data/jehc223/RGCL/data/video/MHC/All/Uf46jwTyQXU.mp4,0.25003034,0.199295388,0.126692814,0.167955775,0.111592813,0.144432869,,,,,,,,,,,,,,,
7d2b27520a392b8830fe,/data/jehc223/RGCL/data/video/MHC/All/EuGF6X7Jsb8.mp4,0.196831978,0.184942751,0.154529514,0.181389418,0.147086849,0.13521949,,,,,,,,,,,,,,,
7e294ca515bdb6e9a57c,/data/jehc223/RGCL/data/video/MHC/All/P-nZjOeWKis.mp4,0.200717401,0.157646925,0.154131183,0.194188145,0.184296722,0.109019625,,,,,,,,,,,,,,,
001139938bfae1296d54,/data/jehc223/RGCL/data/video/MHC/All/WSv2cbUxtNw.mp4,0.15292287,0.227008531,0.140803395,0.164056981,0.209957831,0.105250392,,,,,,,,,,,,,,,
00d4d107c049ece14643,/data/jehc223/RGCL/data/video/MHC/All/gUxNpUjRSSs.mp4,0.125716417,0.212553509,0.127640164,0.208404524,0.209136025,0.11654936,,,,,,,,,,,,,,,
0206877a021ee50ef010,/data/jehc223/RGCL/data/video/MHC/All/sbNdkr9KuIQ.mp4,0.146496958,0.205370767,0.160434578,0.189853039,0.178643707,0.119200951,,,,,,,,,,,,,,,
0283c8f1b9a22ecebeb3,/data/jehc223/RGCL/data/video/MHC/All/qwa1Q4Qdyko.mp4,0.155699435,0.192262865,0.185828998,0.179464041,0.147669295,0.139075366,,,,,,,,,,,,,,,
0384712b5e6ca4e690bb,/data/jehc223/RGCL/data/video/MHC/All/LsKG5mcd6Go.mp4,0.147731326,0.236643708,0.137715659,0.162362141,0.196669328,0.118877838,,,,,,,,,,,,,,,
051d233e3f5e21d02f9a,/data/jehc223/RGCL/data/video/MHC/All/FpONjY0jWE0.mp4,0.116941318,0.209735257,0.1989199,0.165529702,0.175463261,0.133410562,,,,,,,,,,,,,,,
0666bb5b469ac2ecb586,/data/jehc223/RGCL/data/video/MHC/All/5lx44-lko-U.mp4,0.149710189,0.220188648,0.157532398,0.191667483,0.164028388,0.116872894,,,,,,,,,,,,,,,
08307d108efac89a1696,/data/jehc223/RGCL/data/video/MHC/All/HtgpQAqLgFs.mp4,0.140105764,0.215835077,0.145108463,0.197030907,0.140087143,0.161832646,,,,,,,,,,,,,,,
1027072c226c4bb5088b,/data/jehc223/RGCL/data/video/MHC/All/AyQOtwf-YWw.mp4,0.14624546,0.224717623,0.126069085,0.20380639,0.185382754,0.113778688,,,,,,,,,,,,,,,
12b06638924cf1e0a835,/data/jehc223/RGCL/data/video/MHC/All/1oEQlFqed8I.mp4,0.130255665,0.259945496,0.118225374,0.154903041,0.141142531,0.195527892,,,,,,,,,,,,,,,
13ca0a548d8290e4858f,/data/jehc223/RGCL/data/video/MHC/All/Jszml4ziVHk.mp4,0.148372223,0.217842247,0.159304897,0.21742468,0.147430103,0.10962585,,,,,,,,,,,,,,,
0bce37c9c192f0511cfb,/data/jehc223/RGCL/data/video/MHC/All/T3uOWb9Chd4.mp4,0.122730628,0.162015896,0.198702034,0.165262489,0.184752849,0.166536104,,,,,,,,,,,,,,,
122654e5fab1ebf4d1be,/data/jehc223/RGCL/data/video/MHC/All/4BkwQWsVgGg.mp4,0.139257114,0.185406704,0.197831562,0.189960634,0.158165924,0.129378063,,,,,,,,,,,,,,,
163742a712a059bb7e43,/data/jehc223/RGCL/data/video/MHC/All/Dn53NIFuIvc.mp4,0.172193633,0.152228298,0.18394676,0.176468144,0.16320076,0.151962404,,,,,,,,,,,,,,,
1d22dc5be47091bf5af7,/data/jehc223/RGCL/data/video/MHC/All/j-cUTF18bEg.mp4,0.145126385,0.164140562,0.202102852,0.185286553,0.163983122,0.139360526,,,,,,,,,,,,,,,
238a42490c9c855e0d20,/data/jehc223/RGCL/data/video/MHC/All/UzNhibosChY.mp4,0.187681161,0.183492225,0.197299302,0.183673595,0.141939195,0.105914522,,,,,,,,,,,,,,,
252e638683144348725b,/data/jehc223/RGCL/data/video/MHC/All/x5lljednNDU.mp4,0.125475524,0.167927814,0.187069129,0.153558003,0.184291153,0.181678378,,,,,,,,,,,,,,,
2ce294c7246da22bae4e,/data/jehc223/RGCL/data/video/MHC/All/4zro4VEcY4A.mp4,0.134161233,0.183493872,0.19244415,0.162543753,0.147030193,0.180326799,,,,,,,,,,,,,,,
534f8fad3390838b9d0c,/data/jehc223/RGCL/data/video/MHC/All/7I4uFpJH9fs.mp4,0.133266038,0.18359866,0.19744652,0.180636329,0.19634622,0.108706233,,,,,,,,,,,,,,,
