id,label,duration_s,n_spans,span_seconds,span_frac,frames_in_span_of8,n_words,empty_text,target,s0_valsel_vote,s0_valsel_pred,s0_valsel_err,s0_valsel_purity_true,s0_valsel_top1_sim,s0_valsel_top1_correct,s0_valsel_first_correct_rank,s0_valsel_wpurity_true,s0_valsel_head_img_pred,s0_valsel_head_txt_pred,s0_final_vote,s0_final_pred,s0_final_err,s0_final_purity_true,s0_final_top1_sim,s0_final_top1_correct,s0_final_first_correct_rank,s0_final_wpurity_true,s0_final_head_img_pred,s0_final_head_txt_pred,s1_valsel_vote,s1_valsel_pred,s1_valsel_err,s1_valsel_purity_true,s1_valsel_top1_sim,s1_valsel_top1_correct,s1_valsel_first_correct_rank,s1_valsel_wpurity_true,s1_valsel_head_img_pred,s1_valsel_head_txt_pred,s1_final_vote,s1_final_pred,s1_final_err,s1_final_purity_true,s1_final_top1_sim,s1_final_top1_correct,s1_final_first_correct_rank,s1_final_wpurity_true,s1_final_head_img_pred,s1_final_head_txt_pred,s2_valsel_vote,s2_valsel_pred,s2_valsel_err,s2_valsel_purity_true,s2_valsel_top1_sim,s2_valsel_top1_correct,s2_valsel_first_correct_rank,s2_valsel_wpurity_true,s2_valsel_head_img_pred,s2_valsel_head_txt_pred,s2_final_vote,s2_final_pred,s2_final_err,s2_final_purity_true,s2_final_top1_sim,s2_final_top1_correct,s2_final_first_correct_rank,s2_final_wpurity_true,s2_final_head_img_pred,s2_final_head_txt_pred,raw_img_pred,raw_txt_pred,raw_img_vote,raw_txt_vote,n_err_final_3seed,n_err_valsel_3seed
hate_video_1,1,94.998,1,60.0,0.6316,4,0,1,Blacks,-0.646616,0,1,0.25,0.999424,0,2,0.1762,1,0,-0.599073,0,1,0.15,0.999716,0,3,0.2,1,0,-0.476027,0,1,0.2,0.999901,0,3,0.2619,1,0,-0.589518,0,1,0.15,0.999781,0,2,0.2048,1,0,-0.825284,0,1,0.15,0.999562,0,10,0.0857,1,0,-0.825284,0,1,0.15,0.999562,0,10,0.0857,1,0,1,1,0.53626,0.095832,3,3
non_hate_video_4,0,32.28,0,0,0.0,,0,1,Blacks,-0.999921,0,0,1.0,0.999945,1,1,1.0,0,0,-0.99997,0,0,1.0,0.999978,1,1,1.0,0,0,-0.704709,0,0,0.9,0.99995,0,2,0.8524,1,0,-0.99997,0,0,1.0,0.999982,1,1,1.0,0,0,-0.999959,0,0,1.0,0.999982,1,1,1.0,0,0,-0.999959,0,0,1.0,0.999982,1,1,1.0,0,0,1,0,0.058777,-0.64469,0,0
non_hate_video_8,0,19.272,0,0,0.0,,0,1,Others,-0.999943,0,0,1.0,0.999966,1,1,1.0,1,0,-0.999978,0,0,1.0,0.999985,1,1,1.0,1,0,-0.999951,0,0,1.0,0.999969,1,1,1.0,1,0,-0.999977,0,0,1.0,0.999985,1,1,1.0,1,0,-0.999979,0,0,1.0,0.999988,1,1,1.0,1,0,-0.999979,0,0,1.0,0.999988,1,1,1.0,1,0,1,0,0.46296,-0.860811,0,0
hate_video_10,1,38.455,1,38.0,0.9882,7,4,0,Blacks,-0.551153,0,1,0.2,0.999226,0,2,0.2238,1,0,-0.665732,0,1,0.15,0.999797,0,5,0.1667,1,0,-0.456911,0,1,0.2,0.999778,1,1,0.2714,1,0,-0.637218,0,1,0.15,0.999637,0,5,0.181,1,0,-0.758896,0,1,0.1,0.999517,0,6,0.119,1,0,-0.758896,0,1,0.1,0.999517,0,6,0.119,1,0,1,1,0.88732,0.052891,3,3
hate_video_12,1,188.815,1,60.0,0.3178,2,145,0,Blacks,-0.780735,0,1,0.1,0.999845,0,7,0.1095,1,0,-0.818925,0,1,0.1,0.999936,0,7,0.0905,1,0,-0.999867,0,1,0.0,0.999921,0,0,0.0,1,0,-0.780833,0,1,0.15,0.999959,0,4,0.1095,1,0,-0.875987,0,1,0.1,0.99993,0,9,0.0619,1,0,-0.875987,0,1,0.1,0.99993,0,9,0.0619,1,0,1,1,0.233798,0.018108,3,3
non_hate_video_11,0,118.123,0,0,0.0,,130,0,Blacks,-0.999964,0,0,1.0,0.99998,1,1,1.0,0,0,-0.999987,0,0,1.0,0.999992,1,1,1.0,0,0,-0.999961,0,0,1.0,0.999978,1,1,1.0,0,0,-0.999984,0,0,1.0,0.99999,1,1,1.0,0,0,-0.999988,0,0,1.0,0.999992,1,1,1.0,0,0,-0.999988,0,0,1.0,0.999992,1,1,1.0,0,0,0,0,-0.641709,-0.729083,0,0
non_hate_video_16,0,68.303,0,0,0.0,,156,0,Blacks,0.496871,1,1,0.25,0.998628,0,2,0.2476,0,1,0.314671,1,1,0.3,0.996758,0,2,0.3381,0,1,0.326977,1,1,0.25,0.999578,0,2,0.3333,0,1,0.503663,1,1,0.3,0.999837,0,4,0.2476,0,1,0.417593,1,1,0.2,0.999898,1,1,0.2905,0,1,0.417593,1,1,0.2,0.999898,1,1,0.2905,0,1,0,1,-0.510699,0.68823,3,3
non_hate_video_20,0,191.913,0,0,0.0,,484,0,Blacks,-0.827916,0,0,0.85,0.999849,1,1,0.9143,0,0,-0.590159,0,0,0.8,0.999929,1,1,0.7952,0,0,-0.723488,0,0,0.7,0.999883,1,1,0.8619,0,0,-0.88537,0,0,0.85,0.999852,1,1,0.9429,0,0,-0.729617,0,0,0.8,0.999382,1,1,0.8667,0,0,-0.729617,0,0,0.8,0.999382,1,1,0.8667,0,0,0,1,-0.252082,0.100371,0,0
non_hate_video_21,0,41.036,0,0,0.0,,54,0,Blacks,-0.662642,0,0,0.8,0.998927,1,1,0.8333,0,0,-0.732576,0,0,0.85,0.999681,1,1,0.8667,0,0,0.04775,1,1,0.55,0.99978,0,5,0.4762,0,0,-0.608726,0,0,0.85,0.999862,0,2,0.8048,0,0,-0.785302,0,0,0.85,0.999245,1,1,0.8952,0,0,-0.785302,0,0,0.85,0.999245,1,1,0.8952,0,0,0,1,-0.608923,0.240713,0,1
non_hate_video_22,0,20.517,0,0,0.0,,4,0,,-0.99992,0,0,1.0,0.999961,1,1,1.0,0,0,-0.999955,0,0,1.0,0.999977,1,1,1.0,0,0,-0.999954,0,0,1.0,0.999964,1,1,1.0,0,0,-0.847583,0,0,0.95,0.999989,1,1,0.9238,0,0,-0.876154,0,0,0.95,0.999985,1,1,0.9381,0,0,-0.876154,0,0,0.95,0.999985,1,1,0.9381,0,0,0,0,-0.342938,-0.660677,0,0
