[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 1.9s (arena=False draws=200)
    [en] fold 0 draw 0 7.7s
    [en] fold 0 draw 1 6.1s
    [en] fold 0 draw 2 6.1s
    [en] fold 0 draw 3 6.2s
    [en] fold 0 draw 4 6.1s
    [en] fold 0 draw 5 6.1s
    [en] fold 0 draw 6 6.1s
    [en] fold 0 draw 7 6.2s
    [en] fold 0 draw 8 6.3s
    [en] fold 0 draw 9 6.2s
    [en] fold 0 draw 10 6.1s
    [en] fold 0 draw 11 6.2s
    [en] fold 0 draw 12 6.3s
    [en] fold 0 draw 13 6.1s
    [en] fold 0 draw 14 6.0s
    [en] fold 0 draw 15 6.1s
    [en] fold 0 draw 16 6.1s
    [en] fold 0 draw 17 6.4s
    [en] fold 0 draw 18 6.0s
    [en] fold 0 draw 19 6.1s
    [en] fold 0 draw 20 6.0s
    [en] fold 0 draw 21 6.1s
    [en] fold 0 draw 22 6.2s
    [en] fold 0 draw 23 6.0s
    [en] fold 0 draw 24 6.1s
    [en] fold 0 draw 25 6.1s
    [en] fold 0 draw 26 6.1s
    [en] fold 0 draw 27 6.1s
    [en] fold 0 draw 28 6.3s
    [en] fold 0 draw 29 6.3s
    [en] fold 0 draw 30 6.1s
    [en] fold 0 draw 31 6.1s
    [en] fold 0 draw 32 6.0s
    [en] fold 0 draw 33 6.1s
    [en] fold 0 draw 34 6.1s
    [en] fold 0 draw 35 6.1s
    [en] fold 0 draw 36 6.1s
    [en] fold 0 draw 37 6.1s
    [en] fold 0 draw 38 6.0s
    [en] fold 0 draw 39 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 1.9s (arena=False draws=160)
    [en] fold 0 draw 40 7.6s
    [en] fold 0 draw 41 6.4s
    [en] fold 0 draw 42 6.3s
    [en] fold 0 draw 43 6.0s
    [en] fold 0 draw 44 6.1s
    [en] fold 0 draw 45 6.2s
    [en] fold 0 draw 46 6.1s
    [en] fold 0 draw 47 6.1s
    [en] fold 0 draw 48 6.0s
    [en] fold 0 draw 49 6.0s
    [en] fold 0 draw 50 6.1s
    [en] fold 0 draw 51 6.0s
    [en] fold 0 draw 52 6.0s
    [en] fold 0 draw 53 6.1s
    [en] fold 0 draw 54 6.0s
    [en] fold 0 draw 55 6.0s
    [en] fold 0 draw 56 6.0s
    [en] fold 0 draw 57 6.1s
    [en] fold 0 draw 58 6.1s
    [en] fold 0 draw 59 6.1s
    [en] fold 0 draw 60 6.1s
    [en] fold 0 draw 61 6.0s
    [en] fold 0 draw 62 5.9s
    [en] fold 0 draw 63 6.0s
    [en] fold 0 draw 64 6.0s
    [en] fold 0 draw 65 6.0s
    [en] fold 0 draw 66 6.0s
    [en] fold 0 draw 67 6.1s
    [en] fold 0 draw 68 6.0s
    [en] fold 0 draw 69 6.1s
    [en] fold 0 draw 70 6.0s
    [en] fold 0 draw 71 6.1s
    [en] fold 0 draw 72 6.1s
    [en] fold 0 draw 73 6.0s
    [en] fold 0 draw 74 6.0s
    [en] fold 0 draw 75 6.0s
    [en] fold 0 draw 76 6.0s
